,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,8,9,10
Javania antarctica,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania antarctica,,,
Javania borealis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania borealis,,,
Javania cailleti,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania cailleti,,,
Javania californica,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania californica,,,
Javania lamprotichum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania lamprotichum,,,
Javania exserta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania exserta,,,
Pourtalocyathus hispidus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Schizocyathidae,Pourtalocyathus,Pourtalocyathus hispidus,,,
Gardineria hawaiiensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria,Gardineria hawaiiensis,,,
Polymyces montereyensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Polymyces,Polymyces montereyensis,,,
Enallopsammia rostrata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Enallopsammia,Enallopsammia rostrata,,,
Crispatotrochus squiresi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Crispatotrochus,Crispatotrochus squiresi,,,
Flabellum (Ulocyathus) alabastrum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) alabastrum,,
Paracyathus molokensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus,Paracyathus molokensis,,,
Premocyathus cornuformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Premocyathus,Premocyathus cornuformis,,,
Madracis kauaiensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,Madracis kauaiensis,,,
Flabellum (Flabellum) chunii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) chunii,,
Caryophyllia (Caryophyllia) ambrosia,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) ambrosia,,
Eguchipsammia serpentina,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia,Eguchipsammia serpentina,,,
Madracis kauaiensis var. macrocalyx,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Pocilloporidae,Madracis,Madracis kauaiensis,Madracis kauaiensis var. macrocalyx,,
Flabellum (Ulocyathus) macandrewi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) macandrewi,,
Peponocyathus folliculus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Peponocyathus,Peponocyathus folliculus,,,
Flabellum (Flabellum) pavoninum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) pavoninum,,
Labyrinthocyathus quaylei,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus,Labyrinthocyathus quaylei,,,
Oculina tenella,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina,Oculina tenella,,,
Solenosmilia variabilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Solenosmilia,Solenosmilia variabilis,,,
Eguchipsammia fistula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia,Eguchipsammia fistula,,,
Astrangia rathbuni,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Astrangia,Astrangia rathbuni,,,
Enallopsammia profunda,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Enallopsammia,Enallopsammia profunda,,,
Fungiacyathus (Bathyactis) symmetricus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,Fungiacyathus (Bathyactis),Fungiacyathus (Bathyactis) symmetricus,,
Astrangia poculata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Astrangia,Astrangia poculata,,,
Flabellum (Ulocyathus) angulare,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus),Flabellum (Ulocyathus) angulare,,
Flabellum (Flabellum) vaughani,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) vaughani,,
Caryophylliidae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,,,,,
Trochocyathus (Trochocyathus) vasiformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) vasiformis,,
Trochocyathus (Aplocyathus) brevispina,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Aplocyathus),Trochocyathus (Aplocyathus) brevispina,,
Trochocyathus (Trochocyathus) cooperi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) cooperi,,
Trochocyathus (Trochocyathus) cepulla,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) cepulla,,
Trochocyathus (Aplocyathus) hastatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Aplocyathus),Trochocyathus (Aplocyathus) hastatus,,
Trochocyathus (Trochocyathus) burchae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) burchae,,
Trochocyathus (Trochocyathus) apertus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) apertus,,
Trochocyathus (Trochocyathus) philippinensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) philippinensis,,
Trochocyathus (Trochocyathus) laboreli,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) laboreli,,
Trochocyathus (Trochocyathus) discus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) discus,,
Trochocyathus (Trochocyathus) gordoni,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) gordoni,,
Trochocyathus (Trochocyathus) efateensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) efateensis,,
Trochocyathus (Trochocyathus) maculatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) maculatus,,
Trochocyathus (Trochocyathus) rhombocolumna,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) rhombocolumna,,
Trochocyathus (Trochocyathus) rawsonii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) rawsonii,,
Truncatoflabellum truncum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Truncatoflabellum,Truncatoflabellum truncum,,,
Tubastraea micranthus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Tubastraea,Tubastraea micranthus,,,
Turbinaria peltata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Turbinaria,Turbinaria peltata,,,
Vaughanella oreophila,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella,Vaughanella oreophila,,,
Vaughanella multipalifera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella,Vaughanella multipalifera,,,
Vaughanella concinna,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Vaughanella,Vaughanella concinna,,,
Deltocyathus corrugatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus corrugatus,,,
Balanophyllia (Balanophyllia) diffusa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) diffusa,,
Balanophyllia (Balanophyllia) desmophyllioides,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) desmophyllioides,,
Eguchipsammia gaditana,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia,Eguchipsammia gaditana,,,
Eguchipsammia japonica,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Eguchipsammia,Eguchipsammia japonica,,,
Endopachys grayi,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Endopachys,Endopachys grayi,,,
Dendrophylliidae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,,,,,
Caryophyllia (Caryophyllia) rugosa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) rugosa,,
Caryophyllia (Caryophyllia) scobinosa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) scobinosa,,
Madrepora porcellana,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Madrepora,Madrepora porcellana,,,
Caryophyllia (Acanthocyathus) decamera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Acanthocyathus),Caryophyllia (Acanthocyathus) decamera,,
Balanophyllia (Balanophyllia) floridana,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) floridana,,
Balanophyllia (Balanophyllia) galapagensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) galapagensis,,
Caryophyllia (Caryophyllia) abrupta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) abrupta,,
Caryophyllia (Acanthocyathus) unicristata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Acanthocyathus),Caryophyllia (Acanthocyathus) unicristata,,
Deltocyathus crassiseptum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus crassiseptum,,,
Caryophyllia (Caryophyllia) abyssorum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) abyssorum,,
Caryophyllia (Acanthocyathus) karubarica,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Acanthocyathus),Caryophyllia (Acanthocyathus) karubarica,,
Balanophyllia (Balanophyllia) gemma,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) gemma,,
Balanophyllia (Balanophyllia) generatrix,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) generatrix,,
Caryophyllia (Acanthocyathus) spinigera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Acanthocyathus),Caryophyllia (Acanthocyathus) spinigera,,
Caryophyllia (Caryophyllia) antarctica,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) antarctica,,
Caryophyllia (Caryophyllia) alberti,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) alberti,,
Balanophyllia (Balanophyllia) gigas,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) gigas,,
Balanophyllia (Balanophyllia) laysanensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) laysanensis,,
Balanophyllia (Balanophyllia) malouinensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) malouinensis,,
Flabellum (Flabellum) thouarsii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) thouarsii,,
Trochocyathus (Trochocyathus) aithoseptatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) aithoseptatus,,
Dendrophyllia arbuscula,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia arbuscula,,,
Trochocyathus (Trochocyathus) mauiensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) mauiensis,,
Flabellum (Flabellum) curvatum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) curvatum,,
Trochocyathus (Trochocyathus) oahensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) oahensis,,
Trochocyathus (Trochocyathus) patelliformis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Trochocyathus,Trochocyathus (Trochocyathus),Trochocyathus (Trochocyathus) patelliformis,,
Lochmaeotrochus oculeus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Lochmaeotrochus,Lochmaeotrochus oculeus,,,
Flabellum (Flabellum) areum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) areum,,
Flabellum (Flabellum) flexuosum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) flexuosum,,
Aulocyathus juvenescens,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus,Aulocyathus juvenescens,,,
Monohedotrochus capitolii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Monohedotrochus,Monohedotrochus capitolii,,,
Aulocyathus recidivus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus,Aulocyathus recidivus,,,
Monohedotrochus circularis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Monohedotrochus,Monohedotrochus circularis,,,
Aulocyathus atlanticus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Aulocyathus,Aulocyathus atlanticus,,,
Monohedotrochus epithecatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Monohedotrochus,Monohedotrochus epithecatus,,,
Balanophyllia (Balanophyllia) cellulosa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) cellulosa,,
Javania insignis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania insignis,,,
Flabellum (Flabellum) cinctutum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) cinctutum,,
Balanophyllia (Balanophyllia) capensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) capensis,,
Balanophyllia (Balanophyllia) cornu,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) cornu,,
Balanophyllia (Balanophyllia) chnous,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) chnous,,
Balanophyllia (Balanophyllia) crassitheca,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) crassitheca,,
Flabellum (Flabellum) impensum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Flabellum),Flabellum (Flabellum) impensum,,
Deltocyathus cameratus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus cameratus,,,
Balanophyllia (Balanophyllia) dentata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) dentata,,
Balanophyllia (Balanophyllia) cumingii,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) cumingii,,
Balanophyllia (Balanophyllia) crassiseptum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),Balanophyllia (Balanophyllia) crassiseptum,,
Fungiacyathus (Fungiacyathus) fragilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Fungiacyathidae,Fungiacyathus,Fungiacyathus (Fungiacyathus),Fungiacyathus (Fungiacyathus) fragilis,,
Letepsammia formosissima,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Micrabaciidae,Letepsammia,Letepsammia formosissima,,,
Deltocyathoides orientalis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Deltocyathoides,Deltocyathoides orientalis,,,
Peponocyathus minimus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Turbinoliidae,Peponocyathus,Peponocyathus minimus,,,
Deltocyathus andamanicus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus andamanicus,,,
Notophyllia hecki,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Notophyllia,Notophyllia hecki,,,
Notophyllia recta,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Notophyllia,Notophyllia recta,,,
Javania cristata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania cristata,,,
Labyrinthocyathus langae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus,Labyrinthocyathus langae,,,
Rhizosmilia gerdae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Rhizosmilia,Rhizosmilia gerdae,,,
Schizocyathus fissilis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Schizocyathidae,Schizocyathus,Schizocyathus fissilis,,,
Oxysmilia corrugata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Oxysmilia,Oxysmilia corrugata,,,
Paraconotrochus antarcticus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paraconotrochus,Paraconotrochus antarcticus,,,
Caryophyllia (Caryophyllia) berteriana,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) berteriana,,
Polycyathus senegalensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Polycyathus,Polycyathus senegalensis,,,
Phyllangia pequegnatae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phyllangia,Phyllangia pequegnatae,,,
Stephanocyathus (Odontocyathus) coronatus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Stephanocyathus,Stephanocyathus (Odontocyathus),Stephanocyathus (Odontocyathus) coronatus,,
Labyrinthocyathus facetus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Labyrinthocyathus,Labyrinthocyathus facetus,,,
Paraconotrochus capense,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paraconotrochus,Paraconotrochus capense,,,
Paraconotrochus zeidleri,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paraconotrochus,Paraconotrochus zeidleri,,,
Javania fusca,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Flabellidae,Javania,Javania fusca,,,
Concentrotheca laevigata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Concentrotheca,Concentrotheca laevigata,,,
